date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking,home_avg_goals,away_avg_goals,home_wins,away_wins,home_losses,away_losses,home_draws,away_draws
2014-09-04,Bosnia and Herzegovina,Liechtenstein,3.0,0.0,Friendly,Tuzla,Bosnia and Herzegovina,False,19,167,0.0,0.0,0,0,0,2,0,0
2014-09-04,Croatia,Cyprus,2.0,0.0,Friendly,Pula,Croatia,False,16,140,0.4,0.4,0,0,0,0,1,1
2014-09-04,France,Spain,1.0,0.0,Friendly,Saint-Denis,France,False,10,7,2.2,0.6,3,1,1,1,0,0
2014-09-04,Italy,Netherlands,2.0,0.0,Friendly,Bari,Italy,False,14,3,0.6,0.6,1,2,1,1,2,0
2014-09-04,Slovakia,Malta,1.0,0.0,Friendly,Žilina,Slovakia,False,45,150,1.0,0.4,2,0,1,2,0,0
2014-09-04,Sweden,Estonia,2.0,0.0,Friendly,Solna,Sweden,False,29,93,1.0,1.2,2,1,3,2,0,2
2014-09-07,Denmark,Armenia,2.0,1.0,UEFA Euro qualification,Copenhagen,Denmark,False,26,36,0.8,1.0,1,0,2,3,1,0
2014-09-07,Faroe Islands,Finland,1.0,3.0,UEFA Euro qualification,Tórshavn,Faroe Islands,False,183,55,0.8,0.2,1,2,0,1,0,1
2014-09-07,Georgia,Republic of Ireland,1.0,2.0,UEFA Euro qualification,Tbilisi,Georgia,False,95,66,0.4,0.0,1,0,0,3,0,1
2014-09-07,Germany,Scotland,2.0,1.0,UEFA Euro qualification,Dortmund,Germany,False,1,28,2.2,0.2,3,1,0,0,1,0
2014-09-07,Gibraltar,Poland,0.0,7.0,UEFA Euro qualification,Faro,Portugal,True,205,61,0.6,1.4,1,3,2,1,1,1
2014-09-07,Greece,Romania,0.0,1.0,UEFA Euro qualification,Piraeus,Greece,False,13,27,0.0,0.0,0,1,0,0,1,0
2014-09-07,Hungary,Northern Ireland,1.0,2.0,UEFA Euro qualification,Budapest,Hungary,False,34,95,1.4,0.8,2,0,1,0,1,1
2014-09-07,Portugal,Albania,0.0,1.0,UEFA Euro qualification,Aveiro,Portugal,False,11,70,1.0,1.0,1,2,1,2,1,0
2014-09-07,Serbia,France,1.0,1.0,Friendly,Belgrade,Serbia,False,31,10,0.4,0.2,1,4,0,1,0,0
2014-09-08,Austria,Sweden,1.0,1.0,UEFA Euro qualification,Vienna,Austria,False,40,29,0.6,0.4,1,2,0,3,1,0
2014-09-08,Estonia,Slovenia,1.0,0.0,UEFA Euro qualification,Tallinn,Estonia,False,93,39,0.2,1.2,0,0,3,0,2,0
2014-09-08,Luxembourg,Belarus,1.0,1.0,UEFA Euro qualification,Luxembourg,Luxembourg,False,109,88,0.4,1.2,0,1,1,1,1,0
2014-09-08,Montenegro,Moldova,2.0,0.0,UEFA Euro qualification,Podgorica,Montenegro,False,49,99,0.0,0.4,0,1,1,4,0,0
2014-09-08,Russia,Liechtenstein,4.0,0.0,UEFA Euro qualification,Khimki,Russia,False,23,167,1.6,0.4,3,0,1,3,1,0
2014-09-08,San Marino,Lithuania,0.0,2.0,UEFA Euro qualification,Serravalle,San Marino,False,208,103,0.0,0.6,0,1,1,2,0,1
2014-09-08,Spain,North Macedonia,5.0,1.0,UEFA Euro qualification,Valencia,Spain,False,7,76,0.4,1.2,1,1,2,0,0,0
2014-09-08,Switzerland,England,0.0,2.0,UEFA Euro qualification,Basel,Switzerland,False,9,20,0.8,1.4,0,2,1,1,1,0
2014-09-08,Ukraine,Slovakia,0.0,1.0,UEFA Euro qualification,Kyiv,Ukraine,False,22,45,0.2,0.0,1,3,0,1,0,0
2014-09-09,Andorra,Wales,1.0,2.0,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False,199,41,0.0,0.6,0,1,1,1,0,0
2014-09-09,Azerbaijan,Bulgaria,1.0,2.0,UEFA Euro qualification,Baku,Azerbaijan,False,73,72,0.0,0.8,0,1,1,0,0,0
2014-09-09,Bosnia and Herzegovina,Cyprus,1.0,2.0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,19,140,0.6,0.0,1,0,0,1,0,1
2014-09-09,Croatia,Malta,2.0,0.0,UEFA Euro qualification,Zagreb,Croatia,False,16,150,0.8,0.4,1,0,0,3,1,0
2014-09-09,Czech Republic,Netherlands,2.0,1.0,UEFA Euro qualification,Prague,Czech Republic,False,0,3,1.0,1.2,0,2,1,2,2,0
2014-09-09,Iceland,Turkey,3.0,0.0,UEFA Euro qualification,Reykjavík,Iceland,False,46,32,0.6,1.2,1,4,2,0,1,0
2014-09-09,Kazakhstan,Latvia,0.0,0.0,UEFA Euro qualification,Astana,Kazakhstan,False,131,100,0.2,0.8,0,2,1,1,1,1
2014-09-09,Norway,Italy,0.0,2.0,UEFA Euro qualification,Oslo,Norway,False,53,14,0.6,2.2,0,2,3,1,2,2
2014-10-09,Belarus,Ukraine,0.0,2.0,UEFA Euro qualification,Barysaw,Belarus,False,89,24,1.4,0.8,1,1,1,1,1,0
2014-10-09,England,San Marino,5.0,0.0,UEFA Euro qualification,London,England,False,18,208,1.0,0.4,3,0,1,2,0,0
2014-10-09,Liechtenstein,Montenegro,0.0,0.0,UEFA Euro qualification,Vaduz,Liechtenstein,False,172,43,0.2,2.8,0,1,4,1,0,0
2014-10-09,Lithuania,Estonia,1.0,0.0,UEFA Euro qualification,Vilnius,Lithuania,False,103,81,1.0,0.8,2,1,2,3,1,1
2014-10-09,North Macedonia,Luxembourg,3.0,2.0,UEFA Euro qualification,Skopje,North Macedonia,False,112,127,0.6,1.2,1,0,1,1,0,2
2014-10-09,Moldova,Austria,1.0,2.0,UEFA Euro qualification,Chișinău,Moldova,False,105,39,0.8,1.2,1,1,4,0,0,2
