date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking,home_avg_goals_scored,away_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_conceded,home_wins,away_wins,home_losses,away_losses,home_draws,away_draws
2023-11-17,Moldova,Albania,1.0,1.0,UEFA Euro qualification,Chișinău,Moldova,False,157,59,1.4,2.2,1.4,0.4,2,4,1,0,2,1
2023-11-17,Poland,Czech Republic,1.0,1.0,UEFA Euro qualification,Warsaw,Poland,False,31,0,1.4,1.4,1.2,1.2,2,2,2,1,1,2
2023-11-17,Finland,Northern Ireland,4.0,0.0,UEFA Euro qualification,Helsinki,Finland,False,62,75,1.6,1.0,1.2,1.4,2,1,3,4,0,0
2023-11-17,Denmark,Slovenia,2.0,1.0,UEFA Euro qualification,Copenhagen,Denmark,False,19,54,2.2,2.6,0.6,0.6,4,4,0,0,1,1
2023-11-17,Kazakhstan,San Marino,3.0,1.0,UEFA Euro qualification,Astana,Kazakhstan,False,98,207,1.0,0.2,1.0,3.8,3,0,2,5,0,0
2023-11-18,Germany,Turkey,2.0,3.0,Friendly,Berlin,Germany,False,16,38,1.6,2.2,1.8,0.6,1,4,2,0,2,1
2023-11-18,France,Gibraltar,14.0,0.0,UEFA Euro qualification,Nice,France,False,2,198,2.0,0.0,0.8,3.4,4,0,1,5,0,0
2023-11-18,Netherlands,Republic of Ireland,1.0,0.0,UEFA Euro qualification,Amsterdam,Netherlands,False,7,58,1.8,1.6,1.2,1.2,3,2,2,3,0,0
2023-11-18,Armenia,Wales,1.0,1.0,UEFA Euro qualification,Yerevan,Armenia,False,95,28,0.8,2.0,1.6,1.4,1,3,3,2,1,0
2023-11-18,Latvia,Croatia,0.0,2.0,UEFA Euro qualification,Riga,Latvia,False,132,10,0.6,1.4,2.6,0.6,1,2,4,2,0,1
2023-11-18,Belarus,Andorra,1.0,0.0,UEFA Euro qualification,Budapest,Hungary,True,100,159,1.0,0.2,1.0,2.4,1,0,1,4,3,1
2023-11-18,Switzerland,Kosovo,1.0,1.0,UEFA Euro qualification,Basel,Switzerland,False,14,105,2.2,1.4,1.6,1.2,1,2,0,2,4,1
2023-11-18,Israel,Romania,1.0,2.0,UEFA Euro qualification,Felcsút,Hungary,True,71,48,1.0,1.8,0.8,0.6,2,2,1,0,2,3
2023-11-19,Cyprus,Lithuania,1.0,0.0,Friendly,Limassol,Cyprus,False,124,134,0.2,1.4,4.0,1.8,0,1,5,2,0,2
2023-11-19,Scotland,Norway,3.0,3.0,UEFA Euro qualification,Glasgow,Scotland,False,34,42,1.4,2.2,2.2,0.6,1,4,3,1,1,0
2023-11-19,Spain,Georgia,3.0,1.0,UEFA Euro qualification,Valladolid,Spain,False,8,76,3.8,1.6,0.4,2.6,5,1,0,3,0,1
2023-11-19,Belgium,Azerbaijan,5.0,0.0,UEFA Euro qualification,Brussels,Belgium,False,5,120,2.2,1.2,0.6,0.6,4,2,0,2,1,1
2023-11-19,Sweden,Estonia,2.0,0.0,UEFA Euro qualification,Stockholm,Sweden,False,23,118,2.0,0.0,1.6,3.4,2,0,2,5,1,0
2023-11-19,Hungary,Montenegro,3.0,1.0,UEFA Euro qualification,Budapest,Hungary,False,30,70,1.8,1.6,1.4,2.0,2,2,0,2,3,1
2023-11-19,Serbia,Bulgaria,2.0,2.0,UEFA Euro qualification,Leskovac,Serbia,False,29,84,1.6,0.8,1.4,1.8,2,0,3,3,0,2
2023-11-19,Portugal,Iceland,2.0,0.0,UEFA Euro qualification,Lisbon,Portugal,False,6,67,4.0,1.8,0.4,1.6,5,2,0,2,0,1
2023-11-19,Bosnia and Herzegovina,Slovakia,1.0,2.0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,63,50,1.0,2.0,2.2,1.2,2,3,3,2,0,0
2023-11-19,Liechtenstein,Luxembourg,0.0,1.0,UEFA Euro qualification,Vaduz,Liechtenstein,False,200,87,0.2,1.6,2.6,2.6,0,2,5,2,0,1
2023-11-20,North Macedonia,England,1.0,1.0,UEFA Euro qualification,Skopje,North Macedonia,False,66,4,1.6,3.2,1.8,0.6,2,4,2,0,1,1
2023-11-20,Ukraine,Italy,0.0,0.0,UEFA Euro qualification,Leverkusen,Germany,True,22,9,1.6,2.6,0.8,1.4,3,3,1,1,1,1
2023-11-20,Albania,Faroe Islands,0.0,0.0,UEFA Euro qualification,Tirana,Albania,False,59,135,1.8,0.0,0.4,1.6,3,0,0,5,2,0
2023-11-20,Czech Republic,Moldova,3.0,0.0,UEFA Euro qualification,Olomouc,Czech Republic,False,0,157,0.8,1.0,1.2,1.2,1,1,1,1,3,3
2023-11-20,Northern Ireland,Denmark,2.0,0.0,UEFA Euro qualification,Belfast,Northern Ireland,False,75,19,1.0,2.4,2.0,0.6,1,5,4,0,0,0
2023-11-20,San Marino,Finland,1.0,2.0,UEFA Euro qualification,Serravalle,San Marino,False,207,62,0.4,1.2,3.2,1.2,0,2,5,3,0,0
2023-11-20,Slovenia,Kazakhstan,2.0,1.0,UEFA Euro qualification,Ljubljana,Slovenia,False,54,98,2.6,1.4,0.8,1.2,4,3,1,2,0,0
2023-11-21,Austria,Germany,2.0,0.0,Friendly,Vienna,Austria,False,25,16,1.8,1.8,1.0,2.2,3,1,1,3,1,1
2023-11-21,Poland,Latvia,2.0,0.0,Friendly,Warsaw,Poland,False,31,132,1.2,0.4,0.8,2.6,2,1,1,4,2,0
2023-11-21,Gibraltar,Netherlands,0.0,6.0,UEFA Euro qualification,Faro-Loulé,Portugal,True,198,7,0.0,1.6,5.6,0.6,0,4,5,1,0,0
2023-11-21,Greece,France,2.0,2.0,UEFA Euro qualification,Athens,Greece,False,51,2,1.4,4.6,1.0,0.8,2,4,3,1,0,0
2023-11-21,Wales,Turkey,1.0,1.0,UEFA Euro qualification,Cardiff,Wales,False,28,38,1.8,2.2,0.8,0.6,3,4,1,0,1,1
2023-11-21,Croatia,Armenia,1.0,0.0,UEFA Euro qualification,Zagreb,Croatia,False,10,95,1.8,0.6,0.6,1.6,3,0,2,3,0,2
