date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking,home_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_scored,away_avg_goals_conceded
2012-06-18,Italy,Republic of Ireland,2.0,0.0,UEFA Euro,Poznań,Poland,True,12,18,1.4,0.8,0.0,3.0
2012-06-18,Croatia,Spain,0.0,1.0,UEFA Euro,Gdańsk,Poland,True,8,1,1.4,1.8,1.8,0.4
2012-06-19,Sweden,France,2.0,0.0,UEFA Euro,Kyiv,Ukraine,True,17,14,2.0,1.0,1.2,1.4
2012-06-19,Ukraine,England,0.0,1.0,UEFA Euro,Donetsk,Ukraine,False,52,6,0.6666666666666666,1.3333333333333333,2.2,1.4
2012-06-21,Czech Republic,Portugal,0.0,1.0,UEFA Euro,Warsaw,Poland,True,0,10,1.4,1.4,1.4,1.2
2012-06-22,Germany,Greece,4.0,2.0,UEFA Euro,Gdańsk,Poland,True,3,15,2.0,1.0,1.2,1.4
2012-06-23,Spain,France,2.0,0.0,UEFA Euro,Donetsk,Ukraine,True,1,14,2.2,0.4,0.6,1.6
2012-06-24,England,Italy,0.0,0.0,UEFA Euro,Kyiv,Ukraine,True,6,12,1.4,0.8,0.6,0.8
2012-06-27,Portugal,Spain,0.0,0.0,UEFA Euro,Donetsk,Ukraine,True,10,1,1.2,1.0,1.4,0.2
2012-06-28,Germany,Italy,1.0,2.0,UEFA Euro,Warsaw,Poland,True,3,12,1.8,1.4,1.0,0.4
2012-07-01,Spain,Italy,4.0,0.0,UEFA Euro,Kyiv,Ukraine,True,1,12,2.2,0.2,0.6,1.2
2016-06-10,France,Romania,2.0,1.0,UEFA Euro,Saint-Denis,France,False,17,22,1.0,1.2,1.0,1.8
2016-06-11,Albania,Switzerland,0.0,1.0,UEFA Euro,Lens,France,True,42,15,0.0,1.0,0.5,1.25
2016-06-11,England,Russia,1.0,1.0,UEFA Euro,Marseille,France,True,11,29,1.4,0.8,1.2,0.8
2016-06-11,Wales,Slovakia,2.0,1.0,UEFA Euro,Bordeaux,France,True,26,24,2.0,1.0,1.0,2.0
2016-06-12,Germany,Ukraine,2.0,0.0,UEFA Euro,Villeneuve-d'Ascq,France,True,4,19,1.6,1.0,0.0,2.0
2016-06-12,Poland,Northern Ireland,1.0,0.0,UEFA Euro,Nice,France,True,27,25,0.6,0.8,0.0,1.0
2016-06-12,Turkey,Croatia,0.0,1.0,UEFA Euro,Paris,France,True,18,27,0.8,2.0,1.4,0.4
2016-06-13,Belgium,Italy,0.0,2.0,UEFA Euro,Lyon,France,True,2,12,0.5,1.75,1.0,1.2
2016-06-13,Republic of Ireland,Sweden,1.0,1.0,UEFA Euro,Saint-Denis,France,True,33,35,1.0,2.0,1.2,1.4
2016-06-13,Spain,Czech Republic,1.0,0.0,UEFA Euro,Toulouse,France,True,6,0,2.4,0.2,1.2,1.8
2016-06-14,Austria,Hungary,0.0,2.0,UEFA Euro,Bordeaux,France,True,10,20,0.25,1.25,2.0,0.0
2016-06-14,Portugal,Iceland,1.0,1.0,UEFA Euro,Saint-Étienne,France,True,8,34,1.4,1.0,1.0,1.0
2016-06-15,France,Albania,2.0,0.0,UEFA Euro,Marseille,France,False,17,42,1.0,1.0,0.0,2.0
2016-06-15,Romania,Switzerland,1.0,1.0,UEFA Euro,Paris,France,True,22,15,0.4,1.0,0.6,1.2
2016-06-15,Russia,Slovakia,1.0,2.0,UEFA Euro,Villeneuve-d'Ascq,France,True,29,24,1.8,1.4,1.5,1.5
2016-06-16,Ukraine,Northern Ireland,0.0,2.0,UEFA Euro,Lyon,France,True,19,25,0.5,1.5,1.0,0.5
2016-06-16,Germany,Poland,0.0,0.0,UEFA Euro,Saint-Denis,France,True,4,27,1.6,0.8,0.3333333333333333,1.0
2016-06-16,England,Wales,2.0,1.0,UEFA Euro,Lens,France,True,11,26,1.6,1.0,1.0,2.0
2016-06-17,Czech Republic,Croatia,2.0,2.0,UEFA Euro,Saint-Étienne,France,True,0,27,1.6,1.4,1.6,0.8
2016-06-17,Italy,Sweden,1.0,0.0,UEFA Euro,Toulouse,France,True,12,35,1.4,0.6,0.8,1.2
2016-06-17,Spain,Turkey,3.0,0.0,UEFA Euro,Nice,France,True,6,18,2.8,0.0,1.0,2.0
2016-06-18,Belgium,Republic of Ireland,3.0,0.0,UEFA Euro,Bordeaux,France,True,2,33,1.0,1.4,0.0,3.0
2016-06-18,Iceland,Hungary,1.0,1.0,UEFA Euro,Marseille,France,True,34,20,1.0,1.0,1.5,0.5
2016-06-18,Portugal,Austria,0.0,0.0,UEFA Euro,Lyon,France,True,8,10,1.0,1.0,0.0,0.0
2016-06-19,Romania,Albania,0.0,1.0,UEFA Euro,Lyon,France,True,22,42,0.4,1.0,0.5,1.0
2016-06-19,France,Switzerland,0.0,0.0,UEFA Euro,Villeneuve-d'Ascq,France,False,17,15,1.0,0.8,0.4,1.0
2016-06-20,Russia,Wales,0.0,3.0,UEFA Euro,Toulouse,France,True,29,26,1.4,1.8,2.0,1.0
2016-06-20,Slovakia,England,0.0,0.0,UEFA Euro,Saint-Étienne,France,True,24,11,0.0,0.0,1.4,1.0
2016-06-21,Croatia,Spain,2.0,1.0,UEFA Euro,Bordeaux,France,True,27,6,1.4,1.6,1.2,0.4
2016-06-21,Czech Republic,Turkey,0.0,2.0,UEFA Euro,Lens,France,True,0,18,1.2,1.6,1.4,1.6
2016-06-21,Northern Ireland,Germany,0.0,1.0,UEFA Euro,Paris,France,True,25,4,0.0,1.0,1.8,0.8
2016-06-21,Ukraine,Poland,0.0,1.0,UEFA Euro,Marseille,France,True,19,27,0.4,1.4,0.5,0.75
2016-06-22,Sweden,Belgium,0.0,1.0,UEFA Euro,Nice,France,True,35,2,1.0,1.2,1.0,0.0
2016-06-22,Italy,Republic of Ireland,0.0,1.0,UEFA Euro,Villeneuve-d'Ascq,France,True,12,33,1.0,0.6,0.25,2.25
2016-06-22,Iceland,Austria,2.0,1.0,UEFA Euro,Saint-Denis,France,True,34,10,1.5,1.0,0.5,1.0
2016-06-22,Hungary,Portugal,3.0,3.0,UEFA Euro,Lyon,France,True,20,8,3.0,3.0,1.4,1.6
2016-06-25,Croatia,Portugal,0.0,1.0,UEFA Euro,Lens,France,True,27,8,1.0,1.0,1.6,1.2
2016-06-25,Switzerland,Poland,1.0,1.0,UEFA Euro,Saint-Étienne,France,True,15,27,1.0,1.4,0.6,0.8
2016-06-25,Wales,Northern Ireland,1.0,0.0,UEFA Euro,Paris,France,True,26,25,1.5,0.5,0.6666666666666666,0.6666666666666666
2016-06-26,France,Republic of Ireland,2.0,1.0,UEFA Euro,Lyon,France,False,17,33,1.4,0.6,0.4,2.2
2016-06-26,Germany,Slovakia,3.0,0.0,UEFA Euro,Villeneuve-d'Ascq,France,True,4,24,2.0,0.8,1.0,2.0
2016-06-26,Hungary,Belgium,0.0,4.0,UEFA Euro,Toulouse,France,True,20,2,1.5,3.5,2.5,0.0
2016-06-27,England,Iceland,1.0,2.0,UEFA Euro,Nice,France,True,11,34,1.4,0.8,1.5,1.0
2016-06-27,Italy,Spain,2.0,0.0,UEFA Euro,Saint-Denis,France,True,12,6,1.2,0.4,0.6,0.8
2016-06-30,Poland,Portugal,1.0,1.0,UEFA Euro,Marseille,France,True,27,8,0.8,0.8,1.8,1.2
2016-07-01,Wales,Belgium,3.0,1.0,UEFA Euro,Villeneuve-d'Ascq,France,True,26,2,2.0,0.6666666666666666,2.0,1.0
